text,category,location_label,location_mention,source,severity,sentiment
Please check: Low pressure water in Raopura. #Vadodara #VMC,water,Raopura,Raopura,Social Media,Medium,Negative
Heavy rain caused flooding near Vasna Bhayli Road.,flooding,Vasna Road,Vasna Bhayli Road,Official App,High,Negative
Report: Yellow water coming from tap in ONGC Main Gate.,water,Tarsali,ONGC Main Gate,WhatsApp,Medium,Negative
Thunderstorm expected in Railway Station. VMC please help.,weather,Sayajigunj,Railway Station,Social Media,Low,Neutral
Foul smell coming from garbage dump in GIDC Manjalpur. #Vadodara #VMC,garbage,Manjalpur,GIDC Manjalpur,Social Media,Medium,Negative
Action required: Bike slipped due to oil spill near Dairy Den Circle.,accident,Sayajigunj,Dairy Den Circle,Social Media,High,Negative
Urgent: Garden maintenance needed in Sama Pond. Very dangerous situation.,other,Sama,Sama Pond,WhatsApp,Low,Negative
Alert: Ganda paani aa raha hai Sama me. Very dangerous situation.,water,Sama,Sama,WhatsApp,High,Negative
Heavy traffic congestion in RC Dutt Road during peak hours.,traffic,Alkapuri,RC Dutt Road,News Headline,Medium,Negative
Please check: Garbage not collected in Vasna Bhayli Road for 3 days. Calling municipal corporation.,garbage,Vasna Road,Vasna Bhayli Road,WhatsApp,Medium,Negative
Bus hit a divider in Sardar Estate. Please resolve asap.,accident,Ajwa Road,Sardar Estate,WhatsApp,High,Negative
Help needed: No water supply in Sarabhai Compound since morning. Please resolve asap.,water,Kala Ghoda,Sarabhai Compound,WhatsApp,High,Negative
Action required: Bohat garmi hai Shreyas School me aaj. VMC please help.,weather,Manjalpur,Shreyas School,WhatsApp,Low,Neutral
Drainage overflow causing water to unexpected levels in Cow Circle.,flooding,Akota,Cow Circle,News Headline,High,Negative
Please check: Unknown person loitering suspiciously in Tandalja Road. Authorities please take note.,other,Vasna Road,Tandalja Road,Social Media,Low,Negative
Please check: Frequent power cuts in Akota Stadium since yesterday. Very dangerous situation.,electricity,Akota,Akota Stadium,Social Media,High,Negative
Water logging issue at Khanderao Market.,flooding,Nyay Mandir,Khanderao Market,News Headline,High,Negative
Cows sitting in the middle of Tarsali Bypass road.,other,Tarsali,Tarsali Bypass,News Headline,Medium,Negative
Alert: Accident prone zone near Raopura Tower school needs speed breaker. Authorities please take note.,accident,Raopura,Raopura Tower,WhatsApp,High,Negative
Barish ka paani Kothi Kacheri me bhar gaya hai.,flooding,Raopura,Kothi Kacheri,Official App,High,Negative
Urgent: Loudspeaker noise disturbing residents in Akota Bridge. VMC please help.,other,Akota,Akota Bridge,WhatsApp,Low,Negative
Complaint: Akota Stadium is completely submerged. VMC please help.,flooding,Akota,Akota Stadium,Social Media,High,Negative
Dead animal near Narhari Hospital needs removal.,garbage,Fatehgunj,Narhari Hospital,Official App,High,Negative
Urgent: Drinking water smells bad in Motnath Mahadev. Authorities please take note.,water,Harni,Motnath Mahadev,WhatsApp,High,Negative
Please check: Drinking water smells bad in Sama. It is very annoying.,water,Sama,Sama,WhatsApp,Medium,Negative
Please check: High Tension Road is completely submerged. Please resolve asap.,flooding,Subhanpura,High Tension Road,Social Media,High,Negative
Water logging issue at Bahucharaji Road.,flooding,Karelibaug,Bahucharaji Road,News Headline,High,Negative
Action required: Vishwamitri river water entering Vasna Road low lying areas. Please resolve asap.,flooding,Vasna Road,Vasna Road,WhatsApp,High,Negative
Drinking water smells bad in Nyay Mandir.,water,Nyay Mandir,Nyay Mandir,News Headline,Medium,Negative
Please check: Bahut traffic hai Sarabhai Compound par. Very dangerous situation.,traffic,Kala Ghoda,Sarabhai Compound,WhatsApp,High,Negative
Loudspeaker noise disturbing residents in Khanderao Market.,other,Nyay Mandir,Khanderao Market,Official App,Low,Negative
Please check: No water supply in Industrial Area since morning. Calling municipal corporation.,water,Nandesari,Industrial Area,Social Media,High,Negative
Traffic signal not working at Jubilee Baug crossroads.,traffic,Raopura,Jubilee Baug,Official App,Medium,Negative
Pile of trash blocking the footpath in Nandesari. It's been a week.,garbage,Nandesari,Nandesari,Social Media,Medium,Negative
Need a traffic policeman at Manjalpur junction.,traffic,Manjalpur,Manjalpur,Official App,Medium,Negative
Action required: Garden maintenance needed in Gorwa BIDC. Very dangerous situation.,other,Gorwa,Gorwa BIDC,Social Media,Low,Negative
Urgent: Too many stray dogs in Kala Ghoda Circle attacking people. It's been a week.,other,Kala Ghoda,Kala Ghoda Circle,Social Media,High,Negative
Alert: Pile of trash blocking the footpath in Dandia Bazar. Calling municipal corporation.,garbage,Raopura,Dandia Bazar,Social Media,Medium,Negative
Yellow water coming from tap in Saffron Tower.,water,Fatehgunj,Saffron Tower,Official App,Medium,Negative
Help needed: Bus hit a divider in Gotri. Calling municipal corporation.,accident,Gotri,Gotri,WhatsApp,High,Negative
Circuit House is completely dark at night.,electricity,Alkapuri,Circuit House,Official App,High,Negative
Foul smell coming from garbage dump in Alkapuri Club.,garbage,Alkapuri,Alkapuri Club,News Headline,Medium,Negative
Electric pole looking dangerous in Champaner Gate.,electricity,Mandvi,Champaner Gate,Official App,High,Negative
Bike slipped due to oil spill near Air Force Station.,accident,Makarpura,Air Force Station,News Headline,High,Negative
Complaint: Strong winds blowing in Circuit House. It is very annoying.,weather,Alkapuri,Circuit House,Social Media,Low,Neutral
Kachra pada hai Nandesari GIDC road pe. #Vadodara #VMC,garbage,Nandesari,Nandesari GIDC,Social Media,Medium,Negative
Complaint: Voltage fluctuation damaged appliances in Sarabhai Compound. It is very annoying.,electricity,Kala Ghoda,Sarabhai Compound,WhatsApp,Medium,Negative
Please check: Strong winds blowing in Mandvi. It is very annoying.,weather,Mandvi,Mandvi,WhatsApp,Low,Neutral
Voltage fluctuation damaged appliances in Madhuban Circle.,electricity,Gorwa,Madhuban Circle,Official App,Medium,Negative
Report: Water pipeline leakage near Novino Battery. VMC please help.,water,Makarpura,Novino Battery,WhatsApp,Medium,Negative
Cars parked illegally on Saffron Tower road causing jam.,traffic,Fatehgunj,Saffron Tower,Official App,Medium,Negative
"Report: Car collision at Khanderao Market, ambulance needed. VMC please help.",accident,Nyay Mandir,Khanderao Market,WhatsApp,High,Negative
Frequent power cuts in Gorwa BIDC since yesterday.,electricity,Gorwa,Gorwa BIDC,Official App,Medium,Negative
Khanderao Market bridge is blocked due to heavy traffic.,traffic,Nyay Mandir,Khanderao Market,News Headline,Medium,Negative
Pile of trash blocking the footpath in Gotri Hospital.,garbage,Gotri,Gotri Hospital,Official App,Medium,Negative
Frequent power cuts in GMERS since yesterday.,electricity,Gotri,GMERS,News Headline,Medium,Negative
Heavy rain caused flooding near MS University Hostel.,flooding,Fatehgunj,MS University Hostel,Official App,High,Negative
"Knee deep water in Sayajigunj, please help.",flooding,Sayajigunj,Sayajigunj,Official App,High,Negative
Foul smell coming from garbage dump in Nyay Mandir. Please resolve asap.,garbage,Nyay Mandir,Nyay Mandir,WhatsApp,Medium,Negative
Help needed: Cows sitting in the middle of Akota Bridge road. Please resolve asap.,other,Akota,Akota Bridge,Social Media,Medium,Negative
Thunderstorm expected in Harni Airport.,weather,Harni,Harni Airport,Official App,Low,Neutral
Traffic signal not working at Mental Hospital crossroads.,traffic,Karelibaug,Mental Hospital,Official App,Medium,Negative
Action required: Stray cattle blocking traffic at Sayajipura. Authorities please take note.,other,Ajwa Road,Sayajipura,Social Media,Medium,Negative
Complaint: Barish ka paani Bright School me bhar gaya hai. #Vadodara #VMC,flooding,Karelibaug,Bright School,Social Media,High,Negative
Please check: Foul smell coming from garbage dump in Bright School. It's been a week.,garbage,Karelibaug,Bright School,Social Media,Medium,Negative
Water is not draining in Khanderao Market.,flooding,Nyay Mandir,Khanderao Market,News Headline,High,Negative
Report: Thunderstorm expected in Sursagar Lake. Very dangerous situation.,weather,Nyay Mandir,Sursagar Lake,Social Media,Low,Neutral
Terrible accident on Alkapuri Club main road.,accident,Alkapuri,Alkapuri Club,News Headline,High,Negative
Urgent: Accident ho gaya hai Manjalpur Naka me. Calling municipal corporation.,accident,Manjalpur,Manjalpur Naka,Social Media,High,Negative
Help needed: Unseasonal rain in Bright School Vasna. It is very annoying.,weather,Vasna Road,Bright School Vasna,WhatsApp,Low,Neutral
Please check: Contaminated water supply in Mandvi. VMC please help.,water,Mandvi,Mandvi,WhatsApp,High,Negative
Please check: Street lights not working in Akota Stadium. It is very annoying.,electricity,Akota,Akota Stadium,Social Media,Medium,Negative
Sweepers not coming to Karelibaug regularly.,garbage,Karelibaug,Karelibaug,News Headline,Low,Negative
Action required: Cleaning not done in Sursagar Lake society. Very dangerous situation.,garbage,Nyay Mandir,Sursagar Lake,WhatsApp,High,Negative
Report: Need a traffic policeman at Kadak Bazar junction. Very dangerous situation.,traffic,Sayajigunj,Kadak Bazar,Social Media,High,Negative
Urgent: Water pipeline leakage near Nandesari. VMC please help.,water,Nandesari,Nandesari,WhatsApp,High,Negative
Urgent: Street lights not working in Subhanpura. It's been a week.,electricity,Subhanpura,Subhanpura,WhatsApp,High,Negative
Alert: Drainage overflow causing water to unexpected levels in Sama Savli Road. VMC please help.,flooding,Sama,Sama Savli Road,Social Media,High,Negative
Need a traffic policeman at Kothi Kacheri junction.,traffic,Raopura,Kothi Kacheri,Official App,Medium,Negative
Please check: No water supply in Kala Ghoda Circle since morning. Very dangerous situation.,water,Kala Ghoda,Kala Ghoda Circle,WhatsApp,High,Negative
Please check: Barish ka paani Motnath Mahadev me bhar gaya hai.,flooding,Harni,Motnath Mahadev,Social Media,High,Negative
Please check: Water is not draining in Akota Bridge. Calling municipal corporation.,flooding,Akota,Akota Bridge,Social Media,High,Negative
Report: Dead animal near Abhilasha Char Rasta needs removal. It is very annoying.,garbage,Sama,Abhilasha Char Rasta,Social Media,High,Negative
Alert: Too many stray dogs in Kala Ghoda attacking people. VMC please help.,other,Kala Ghoda,Kala Ghoda,Social Media,Medium,Negative
Please check: Heavy rain predicted for Fatehgunj this evening. It is very annoying.,weather,Fatehgunj,Fatehgunj,WhatsApp,Low,Neutral
Strong winds blowing in Industrial Area. Calling municipal corporation.,weather,Nandesari,Industrial Area,Social Media,Low,Neutral
Urgent: Traffic signal not working at Sama Savli Road crossroads. It's been a week.,traffic,Sama,Sama Savli Road,WhatsApp,High,Negative
Voltage fluctuation damaged appliances in Nandesari GIDC.,electricity,Nandesari,Nandesari GIDC,Official App,Medium,Negative
Accident prone zone near Manjalpur school needs speed breaker.,accident,Manjalpur,Manjalpur,Official App,High,Negative
Alert: Contaminated water supply in Raopura Tower. #Vadodara #VMC,water,Raopura,Raopura Tower,Social Media,High,Negative
Action required: Heavy rain caused flooding near Bright School. It is very annoying.,flooding,Karelibaug,Bright School,WhatsApp,High,Negative
Bahut traffic hai ONGC Main Gate par. Authorities please take note.,traffic,Tarsali,ONGC Main Gate,Social Media,Medium,Negative
Illegal encroachment on footpath in Industrial Area.,other,Nandesari,Industrial Area,Official App,Medium,Negative
Bohat garmi hai Parivar Char Rasta me aaj.,weather,Waghodia Road,Parivar Char Rasta,Official App,Low,Neutral
Need a traffic policeman at Nandesari junction.,traffic,Nandesari,Nandesari,News Headline,Medium,Negative
Heavy rain caused flooding near Raopura Tower.,flooding,Raopura,Raopura Tower,Official App,High,Negative
Action required: Bus hit a divider in MS University Hostel.,accident,Fatehgunj,MS University Hostel,Social Media,High,Negative
Action required: Accident ho gaya hai Alkapuri me. Authorities please take note.,accident,Alkapuri,Alkapuri,Social Media,High,Negative
Bus hit a divider in Raopura Tower.,accident,Raopura,Raopura Tower,News Headline,High,Negative
Ganda paani aa raha hai Kala Ghoda me.,water,Kala Ghoda,Kala Ghoda,Official App,Medium,Negative
Stray cattle blocking traffic at Gotri Hospital.,other,Gotri,Gotri Hospital,Official App,Medium,Negative
Please check: Accident prone zone near Circuit House school needs speed breaker. It is very annoying.,accident,Alkapuri,Circuit House,WhatsApp,High,Negative
Report: Pile of trash blocking the footpath in Susen Circle. #Vadodara #VMC,garbage,Tarsali,Susen Circle,WhatsApp,Medium,Negative
No electricity in Susen Circle for 4 hours.,electricity,Tarsali,Susen Circle,News Headline,Medium,Negative
Complaint: Yellow water coming from tap in Railway Station. Authorities please take note.,water,Sayajigunj,Railway Station,Social Media,Medium,Negative
Report: Too many stray dogs in Parivar Char Rasta attacking people. VMC please help.,other,Waghodia Road,Parivar Char Rasta,Social Media,Medium,Negative
Complaint: Low pressure water in Iskcon Temple. Authorities please take note.,water,Gotri,Iskcon Temple,WhatsApp,Medium,Negative
Please check: Accident ho gaya hai Central Library me. Very dangerous situation.,accident,Mandvi,Central Library,Social Media,High,Negative
Yellow water coming from tap in Akota Stadium. Very dangerous situation.,water,Akota,Akota Stadium,Social Media,High,Negative
Complaint: Vishwamitri river water entering Nandesari low lying areas. Calling municipal corporation.,flooding,Nandesari,Nandesari,Social Media,High,Negative
Report: Contaminated water supply in Tarsali.,water,Tarsali,Tarsali,Social Media,High,Negative
"Car collision at Champaner Gate, ambulance needed.",accident,Mandvi,Champaner Gate,News Headline,High,Negative
"Alert: Car collision at Alkapuri Club, ambulance needed. Very dangerous situation.",accident,Alkapuri,Alkapuri Club,Social Media,High,Negative
Drinking water smells bad in Ajwa Chokdi. It's been a week.,water,Ajwa Road,Ajwa Chokdi,Social Media,Medium,Negative
Barish ka paani Industrial Area me bhar gaya hai.,flooding,Nandesari,Industrial Area,News Headline,High,Negative
Alert: Stray cattle blocking traffic at Mandvi Gate. Very dangerous situation.,other,Mandvi,Mandvi Gate,Social Media,High,Negative
Cars parked illegally on Raopura road causing jam.,traffic,Raopura,Raopura,News Headline,Medium,Negative
Vishwamitri river water entering Champaner Gate low lying areas.,flooding,Mandvi,Champaner Gate,Official App,High,Negative
Please check: Wrong side driving is rampant in GMERS. #Vadodara #VMC,traffic,Gotri,GMERS,WhatsApp,Medium,Negative
"Alert: Andhera hai Dandia Bazar me, lights fix karo. It's been a week.",electricity,Raopura,Dandia Bazar,Social Media,Medium,Negative
Unknown person loitering suspiciously in Uma Char Rasta.,other,Waghodia Road,Uma Char Rasta,News Headline,Low,Negative
Tree fallen on road in Akota Bridge.,other,Akota,Akota Bridge,Official App,Medium,Negative
Electric pole looking dangerous in Harinagar. VMC please help.,electricity,Gotri,Harinagar,WhatsApp,High,Negative
Please check: Unseasonal rain in Industrial Area. Calling municipal corporation.,weather,Nandesari,Industrial Area,Social Media,Low,Neutral
"Report: Andhera hai Harni Airport me, lights fix karo. Very dangerous situation.",electricity,Harni,Harni Airport,Social Media,High,Negative
Urgent: Cars parked illegally on Gorwa road causing jam.,traffic,Gorwa,Gorwa,Social Media,High,Negative
Frequent power cuts in Vasna Bhayli Road since yesterday. Calling municipal corporation.,electricity,Vasna Road,Vasna Bhayli Road,Social Media,Medium,Negative
Action required: Unknown person loitering suspiciously in GMERS. Please resolve asap.,other,Gotri,GMERS,WhatsApp,Low,Negative
Bike slipped due to oil spill near Susen Tarsali Ring Road. #Vadodara #VMC,accident,Makarpura,Susen Tarsali Ring Road,Social Media,High,Negative
Huge traffic jam at Susen Tarsali Ring Road.,traffic,Makarpura,Susen Tarsali Ring Road,News Headline,Medium,Negative
Urgent: Heavy rain caused flooding near Railway Station. VMC please help.,flooding,Sayajigunj,Railway Station,WhatsApp,High,Negative
Report: Too many stray dogs in Vasna Bhayli Road attacking people. It is very annoying.,other,Vasna Road,Vasna Bhayli Road,Social Media,Medium,Negative
Alert: Electric pole looking dangerous in Karelibaug. Very dangerous situation.,electricity,Karelibaug,Karelibaug,Social Media,High,Negative
Report: No electricity in Tandalja Road for 4 hours. #Vadodara #VMC,electricity,Vasna Road,Tandalja Road,Social Media,Medium,Negative
Help needed: Street lights not working in Parivar Char Rasta.,electricity,Waghodia Road,Parivar Char Rasta,WhatsApp,Medium,Negative
Contaminated water supply in Makarpura.,water,Makarpura,Makarpura,Official App,High,Negative
Complaint: Ganda paani aa raha hai Rajmahal Road me. Calling municipal corporation.,water,Nyay Mandir,Rajmahal Road,Social Media,Medium,Negative
Complaint: Ganda paani aa raha hai Concorde Building me. #Vadodara #VMC,water,Alkapuri,Concorde Building,Social Media,Medium,Negative
Action required: Electric pole looking dangerous in Manjalpur. Authorities please take note.,electricity,Manjalpur,Manjalpur,WhatsApp,High,Negative
Ganda paani aa raha hai Samta me.,water,Subhanpura,Samta,News Headline,Medium,Negative
Please check: Dustbins are overflowing at Kala Ghoda Circle. VMC please help.,garbage,Kala Ghoda,Kala Ghoda Circle,Social Media,High,Negative
"Please check: Andhera hai Lehripura Gate me, lights fix karo. Authorities please take note.",electricity,Mandvi,Lehripura Gate,Social Media,Medium,Negative
Alert: Stray cattle blocking traffic at Sayajipura. Authorities please take note.,other,Ajwa Road,Sayajipura,WhatsApp,Medium,Negative
Water is not draining in Fatehgunj.,flooding,Fatehgunj,Fatehgunj,Official App,High,Negative
Report: Too many stray dogs in Rajmahal Road attacking people. Authorities please take note.,other,Nyay Mandir,Rajmahal Road,WhatsApp,Medium,Negative
Please check: Illegal encroachment on footpath in Susen Circle. #Vadodara #VMC,other,Tarsali,Susen Circle,WhatsApp,Medium,Negative
Urgent: Yellow water coming from tap in Bahucharaji Road. Authorities please take note.,water,Karelibaug,Bahucharaji Road,Social Media,High,Negative
Complaint: Kachra pada hai Waghodia Road road pe. VMC please help.,garbage,Waghodia Road,Waghodia Road,WhatsApp,Medium,Negative
Dustbins are overflowing at Parivar Char Rasta.,garbage,Waghodia Road,Parivar Char Rasta,News Headline,High,Negative
Urgent: Dead animal near Uma Char Rasta needs removal. #Vadodara #VMC,garbage,Waghodia Road,Uma Char Rasta,WhatsApp,High,Negative
Help needed: Stray animal menace in Raopura Tower. It's been a week.,other,Raopura,Raopura Tower,Social Media,Medium,Negative
Yellow water coming from tap in Bright School.,water,Karelibaug,Bright School,Official App,Medium,Negative
Barish ka paani Gotri Hospital me bhar gaya hai. It's been a week.,flooding,Gotri,Gotri Hospital,WhatsApp,High,Negative
"Andhera hai Gorwa BIDC me, lights fix karo.",electricity,Gorwa,Gorwa BIDC,News Headline,Medium,Negative
Yellow water coming from tap in Narhari Hospital.,water,Fatehgunj,Narhari Hospital,News Headline,Medium,Negative
Action required: Bohat garmi hai Kala Ghoda Circle me aaj. Please resolve asap.,weather,Kala Ghoda,Kala Ghoda Circle,Social Media,Low,Neutral
Foul smell coming from garbage dump in Tandalja Road.,garbage,Vasna Road,Tandalja Road,Official App,Medium,Negative
Action required: No electricity in Sama Pond for 4 hours.,electricity,Sama,Sama Pond,WhatsApp,Medium,Negative
Complaint: Cow Circle is completely submerged. Calling municipal corporation.,flooding,Akota,Cow Circle,WhatsApp,High,Negative
