text,category,location,source,urgency,sentiment
Please check: Too many stray dogs in Alkapuri attacking people. Very dangerous situation.,Stray Animals,Alkapuri,Social Media,Medium,Negative
Action required: Dustbins are overflowing at Raopura.,Sanitation,Raopura,Social Media,Medium,Negative
Please check: Alkapuri me bahut chemical ki badboo aa rahi hai. It's been a week.,Pollution,Alkapuri,Social Media,High,Negative
Help needed: Cleaning not done in Vasna Road society. Please resolve asap.,Sanitation,Vasna Road,Social Media,Medium,Negative
Alert: Cows sitting in the middle of Waghodia Road road. #Vadodara #VMC,Stray Animals,Waghodia Road,Social Media,Medium,Negative
Street lights not working in Tarsali.,Street Lights,Tarsali,Official App,Medium,Negative
Vishwamitri river water entering Sayajigunj low lying areas.,Waterlogging,Sayajigunj,Official App,High,Negative
Help needed: Eyes burning due to smoke in Gotri. VMC please help.,Pollution,Gotri,Social Media,High,Negative
Urgent: Barish ka paani Nandesari me bhar gaya hai. Authorities please take note.,Waterlogging,Nandesari,Social Media,High,Negative
Urgent: Very unhygienic conditions in Nandesari vegetable market. #Vadodara #VMC,Sanitation,Nandesari,WhatsApp,High,Negative
Complaint: Stray animal menace in Ajwa Road. #Vadodara #VMC,Stray Animals,Ajwa Road,Social Media,Medium,Negative
Water is not draining in Nandesari.,Waterlogging,Nandesari,News Headline,High,Negative
Urgent: Gadde hi gadde hai Gorwa ke road par. Calling municipal corporation.,Roads,Gorwa,WhatsApp,High,Negative
Alert: Contaminated water supply in Vasna Road. Please resolve asap.,Water Supply,Vasna Road,WhatsApp,High,Negative
Ganda paani aa raha hai Sama me.,Water Supply,Sama,Official App,High,Negative
Vishwamitri river water entering Subhanpura low lying areas.,Waterlogging,Subhanpura,Official App,High,Negative
Urgent: Water is not draining in Nyay Mandir. VMC please help.,Waterlogging,Nyay Mandir,WhatsApp,High,Negative
Stray animal menace in Manjalpur.,Stray Animals,Manjalpur,Official App,Medium,Negative
"Complaint: Knee deep water in Harni, please help.",Waterlogging,Harni,WhatsApp,High,Negative
Report: Too many stray dogs in Raopura attacking people. It's been a week.,Stray Animals,Raopura,WhatsApp,Medium,Negative
Mandvi me bahut chemical ki badboo aa rahi hai.,Pollution,Mandvi,Official App,High,Negative
Too many stray dogs in Vasna Road attacking people. Authorities please take note.,Stray Animals,Vasna Road,WhatsApp,Medium,Negative
Harni is completely dark at night. Please resolve asap.,Street Lights,Harni,WhatsApp,Medium,Negative
Please check: Stray cattle blocking traffic at Harni. Please resolve asap.,Stray Animals,Harni,Social Media,Medium,Negative
Report: Drainage overflow causing water to unexpected levels in Mandvi. Calling municipal corporation.,Waterlogging,Mandvi,WhatsApp,High,Negative
Alert: Stray animal menace in Raopura. #Vadodara #VMC,Stray Animals,Raopura,Social Media,Medium,Negative
Makarpura me bahut chemical ki badboo aa rahi hai.,Pollution,Makarpura,Official App,High,Negative
Yellow water coming from tap in Makarpura.,Water Supply,Makarpura,Social Media,High,Negative
Help needed: Mandvi is completely dark at night. Authorities please take note.,Street Lights,Mandvi,Social Media,Medium,Negative
Report: Sayajigunj is completely submerged. Very dangerous situation.,Waterlogging,Sayajigunj,Social Media,High,Negative
Help needed: Water logging issue at Ajwa Road circle. It's been a week.,Waterlogging,Ajwa Road,Social Media,High,Negative
Alert: Dustbins are overflowing at Vasna Road. Calling municipal corporation.,Sanitation,Vasna Road,WhatsApp,Medium,Negative
Contaminated water supply in Nandesari.,Water Supply,Nandesari,News Headline,High,Negative
Complaint: Huge potholes in Vasna Road main road. Very dangerous situation.,Roads,Vasna Road,Social Media,Medium,Negative
Waterlogging near Sama is causing huge traffic jams.,Waterlogging,Sama,News Headline,High,Negative
"Urgent: Vasna Road road is full of potholes, very dangerous for bikers. Calling municipal corporation.",Roads,Vasna Road,Social Media,High,Negative
"Waghodia Road road is full of potholes, very dangerous for bikers.",Roads,Waghodia Road,Official App,Medium,Negative
Please check: Huge potholes in Harni main road. Authorities please take note.,Roads,Harni,Social Media,Medium,Negative
Complaint: Barish ka paani Tarsali me bhar gaya hai. VMC please help.,Waterlogging,Tarsali,Social Media,High,Negative
Urgent: Barish ka paani Mandvi me bhar gaya hai.,Waterlogging,Mandvi,Social Media,High,Negative
"Please check: Knee deep water in Vasna Road, please help. It's been a week.",Waterlogging,Vasna Road,Social Media,High,Negative
Urgent: Garbage not collected in Kala Ghoda for 3 days. Calling municipal corporation.,Sanitation,Kala Ghoda,Social Media,High,Negative
Suffocating smell near Sayajigunj GIDC.,Pollution,Sayajigunj,Official App,High,Negative
Help needed: Very unhygienic conditions in Harni vegetable market. It is very annoying.,Sanitation,Harni,Social Media,Medium,Negative
Cows sitting in the middle of Gotri road.,Stray Animals,Gotri,Official App,Medium,Negative
Help needed: Cleaning not done in Manjalpur society. Very dangerous situation.,Sanitation,Manjalpur,Social Media,Medium,Negative
Suffocating smell near Makarpura GIDC.,Pollution,Makarpura,Official App,High,Negative
Urgent: Gadde hi gadde hai Sayajigunj ke road par. Authorities please take note.,Roads,Sayajigunj,WhatsApp,High,Negative
"Alert: Knee deep water in Sayajigunj, please help. VMC please help.",Waterlogging,Sayajigunj,Social Media,High,Negative
"Help needed: Andhera hai Tarsali me, lights fix karo. Very dangerous situation.",Street Lights,Tarsali,Social Media,Medium,Negative
Gadde hi gadde hai Tarsali ke road par.,Roads,Tarsali,Official App,Medium,Negative
Report: Road surface is damaged at Karelibaug. #Vadodara #VMC,Roads,Karelibaug,Social Media,Medium,Negative
Complaint: Kala Ghoda me bahut chemical ki badboo aa rahi hai. Calling municipal corporation.,Pollution,Kala Ghoda,Social Media,High,Negative
Gadde hi gadde hai Sayajigunj ke road par. Please resolve asap.,Roads,Sayajigunj,Social Media,Medium,Negative
Action required: Gadde hi gadde hai Waghodia Road ke road par.,Roads,Waghodia Road,WhatsApp,Medium,Negative
Drainage overflow causing water to unexpected levels in Karelibaug. It's been a week.,Waterlogging,Karelibaug,Social Media,High,Negative
Air quality is very bad in Alkapuri.,Pollution,Alkapuri,News Headline,High,Negative
Cows sitting in the middle of Nandesari road.,Stray Animals,Nandesari,Official App,Medium,Negative
Help needed: No water supply in Makarpura since morning. It is very annoying.,Water Supply,Makarpura,WhatsApp,High,Negative
Alert: Street lights not working in Tarsali.,Street Lights,Tarsali,WhatsApp,Medium,Negative
Help needed: Cows sitting in the middle of Sayajigunj road. Very dangerous situation.,Stray Animals,Sayajigunj,WhatsApp,Medium,Negative
Gorwa is completely submerged. #Vadodara #VMC,Waterlogging,Gorwa,Social Media,High,Negative
Low pressure water in Makarpura. Calling municipal corporation.,Water Supply,Makarpura,Social Media,High,Negative
Cleaning not done in Mandvi society.,Sanitation,Mandvi,Official App,Medium,Negative
Bad road condition near Fatehgunj school.,Roads,Fatehgunj,Official App,Medium,Negative
Action required: Unfinished road work in Kala Ghoda causing dust. Authorities please take note.,Roads,Kala Ghoda,Social Media,Medium,Negative
Kachra pada hai Waghodia Road main road pe.,Sanitation,Waghodia Road,News Headline,Medium,Negative
Help needed: Unfinished road work in Sayajigunj causing dust. It's been a week.,Roads,Sayajigunj,Social Media,Medium,Negative
Please check: Cleaning not done in Vasna Road society. #Vadodara #VMC,Sanitation,Vasna Road,WhatsApp,Medium,Negative
Action required: Factory releasing black smoke near Gorwa. VMC please help.,Pollution,Gorwa,Social Media,High,Negative
Complaint: Waterlogging near Alkapuri is causing huge traffic jams. It is very annoying.,Waterlogging,Alkapuri,Social Media,High,Negative
Dustbins are overflowing at Nandesari.,Sanitation,Nandesari,News Headline,Medium,Negative
Too many stray dogs in Vasna Road attacking people.,Stray Animals,Vasna Road,Official App,Medium,Negative
"Knee deep water in Akota, please help.",Waterlogging,Akota,News Headline,High,Negative
Action required: Cows sitting in the middle of Vasna Road road. #Vadodara #VMC,Stray Animals,Vasna Road,WhatsApp,Medium,Negative
No water supply in Manjalpur since morning.,Water Supply,Manjalpur,Official App,High,Negative
Drainage overflow causing water to unexpected levels in Alkapuri.,Waterlogging,Alkapuri,Official App,High,Negative
 foul smell coming from garbage dump in Karelibaug.,Sanitation,Karelibaug,News Headline,Medium,Negative
Complaint: Street lights not working in Gorwa. It is very annoying.,Street Lights,Gorwa,Social Media,Medium,Negative
Stray cattle blocking traffic at Makarpura.,Stray Animals,Makarpura,Official App,Medium,Negative
Please check: Suffocating smell near Waghodia Road GIDC. Very dangerous situation.,Pollution,Waghodia Road,Social Media,High,Negative
Help needed: Water is not draining in Nandesari. VMC please help.,Waterlogging,Nandesari,Social Media,High,Negative
Action required: Kachra pada hai Nandesari main road pe. It's been a week.,Sanitation,Nandesari,WhatsApp,Medium,Negative
Complaint: Harni me bahut chemical ki badboo aa rahi hai. Authorities please take note.,Pollution,Harni,WhatsApp,High,Negative
Complaint: Factory releasing black smoke near Harni. Authorities please take note.,Pollution,Harni,Social Media,High,Negative
Dustbins are overflowing at Waghodia Road.,Sanitation,Waghodia Road,Official App,Medium,Negative
Alert: Low pressure water in Harni. Very dangerous situation.,Water Supply,Harni,Social Media,High,Negative
Alert: Ganda paani aa raha hai Gorwa me. It's been a week.,Water Supply,Gorwa,Social Media,High,Negative
Please check: Yellow water coming from tap in Sama. #Vadodara #VMC,Water Supply,Sama,Social Media,High,Negative
No water supply in Subhanpura since morning.,Water Supply,Subhanpura,Official App,High,Negative
Report: Eyes burning due to smoke in Gorwa. Calling municipal corporation.,Pollution,Gorwa,Social Media,High,Negative
Street lights not working in Gorwa.,Street Lights,Gorwa,News Headline,Medium,Negative
Cows sitting in the middle of Tarsali road.,Stray Animals,Tarsali,Official App,Medium,Negative
Garbage not collected in Gorwa for 3 days.,Sanitation,Gorwa,Official App,Medium,Negative
Manjalpur is completely submerged.,Waterlogging,Manjalpur,Official App,High,Negative
"Andhera hai Gotri me, lights fix karo. Calling municipal corporation.",Street Lights,Gotri,Social Media,Medium,Negative
Bad road condition near Raopura school.,Roads,Raopura,Official App,Medium,Negative
Report: Unfinished road work in Subhanpura causing dust. Please resolve asap.,Roads,Subhanpura,WhatsApp,Medium,Negative
Complaint: Resurfacing needed for Subhanpura street. Please resolve asap.,Roads,Subhanpura,Social Media,Medium,Negative
Raopura me bahut chemical ki badboo aa rahi hai. It's been a week.,Pollution,Raopura,WhatsApp,High,Negative
Cleaning not done in Tarsali society.,Sanitation,Tarsali,Official App,Medium,Negative
"Please check: Andhera hai Subhanpura me, lights fix karo. Please resolve asap.",Street Lights,Subhanpura,WhatsApp,Medium,Negative
"Action required: Akota road is full of potholes, very dangerous for bikers.",Roads,Akota,Social Media,Medium,Negative
Ganda paani aa raha hai Tarsali me.,Water Supply,Tarsali,Official App,High,Negative
Urgent: Factory releasing black smoke near Nyay Mandir. It's been a week.,Pollution,Nyay Mandir,Social Media,High,Negative
Urgent: No water supply in Raopura since morning. #Vadodara #VMC,Water Supply,Raopura,WhatsApp,High,Negative
Complaint: No water supply in Sayajigunj since morning. It's been a week.,Water Supply,Sayajigunj,Social Media,High,Negative
Ganda paani aa raha hai Harni me. Calling municipal corporation.,Water Supply,Harni,WhatsApp,High,Negative
Alert: Street lights not working in Tarsali. #Vadodara #VMC,Street Lights,Tarsali,Social Media,Medium,Negative
Urgent: Dead animal near Makarpura needs removal. It's been a week.,Sanitation,Makarpura,WhatsApp,High,Negative
Action required: Dead animal near Sama needs removal. It is very annoying.,Sanitation,Sama,Social Media,Medium,Negative
Urgent: Gorwa is completely dark at night. It's been a week.,Street Lights,Gorwa,Social Media,High,Negative
Yellow water coming from tap in Waghodia Road.,Water Supply,Waghodia Road,News Headline,High,Negative
Complaint: Kachra pada hai Gorwa main road pe. Calling municipal corporation.,Sanitation,Gorwa,WhatsApp,Medium,Negative
Action required: Low pressure water in Harni. Please resolve asap.,Water Supply,Harni,Social Media,High,Negative
Complaint: Barish ka paani Kala Ghoda me bhar gaya hai.,Waterlogging,Kala Ghoda,Social Media,High,Negative
Complaint: Contaminated water supply in Nandesari. #Vadodara #VMC,Water Supply,Nandesari,Social Media,High,Negative
Cleaning not done in Makarpura society.,Sanitation,Makarpura,News Headline,Medium,Negative
Please check: Kachra pada hai Subhanpura main road pe. It is very annoying.,Sanitation,Subhanpura,WhatsApp,Medium,Negative
Cows sitting in the middle of Sayajigunj road. It is very annoying.,Stray Animals,Sayajigunj,WhatsApp,Medium,Negative
Report: Vishwamitri river water entering Gorwa low lying areas. Very dangerous situation.,Waterlogging,Gorwa,Social Media,High,Negative
Report: Unfinished road work in Tarsali causing dust. #Vadodara #VMC,Roads,Tarsali,WhatsApp,Medium,Negative
"Please check: Andhera hai Gorwa me, lights fix karo. Calling municipal corporation.",Street Lights,Gorwa,WhatsApp,Medium,Negative
Alert: Stray animal menace in Kala Ghoda. Very dangerous situation.,Stray Animals,Kala Ghoda,Social Media,Medium,Negative
Alert: Ganda paani aa raha hai Raopura me. Please resolve asap.,Water Supply,Raopura,Social Media,High,Negative
Report: Dustbins are overflowing at Fatehgunj.,Sanitation,Fatehgunj,WhatsApp,Medium,Negative
Urgent: Too many stray dogs in Gotri attacking people. Please resolve asap.,Stray Animals,Gotri,WhatsApp,High,Negative
Dustbins are overflowing at Kala Ghoda.,Sanitation,Kala Ghoda,Official App,Medium,Negative
Please check: Garbage not collected in Waghodia Road for 3 days. Calling municipal corporation.,Sanitation,Waghodia Road,WhatsApp,Medium,Negative
Dead animal near Fatehgunj needs removal.,Sanitation,Fatehgunj,Official App,Medium,Negative
No water supply in Sayajigunj since morning.,Water Supply,Sayajigunj,News Headline,High,Negative
Stray cattle blocking traffic at Alkapuri. Please resolve asap.,Stray Animals,Alkapuri,Social Media,Medium,Negative
Complaint: Heavy rain caused flooding near Nyay Mandir.,Waterlogging,Nyay Mandir,WhatsApp,High,Negative
"Knee deep water in Kala Ghoda, please help.",Waterlogging,Kala Ghoda,Official App,High,Negative
Stray cattle blocking traffic at Gorwa.,Stray Animals,Gorwa,News Headline,Medium,Negative
Eyes burning due to smoke in Alkapuri.,Pollution,Alkapuri,Official App,High,Negative
Barish ka paani Karelibaug me bhar gaya hai.,Waterlogging,Karelibaug,News Headline,High,Negative
Help needed: Dead animal near Alkapuri needs removal.,Sanitation,Alkapuri,WhatsApp,Medium,Negative
Help needed: Huge potholes in Sayajigunj main road. It's been a week.,Roads,Sayajigunj,Social Media,Medium,Negative
Alert: Air quality is very bad in Makarpura. Authorities please take note.,Pollution,Makarpura,Social Media,High,Negative
Water is not draining in Alkapuri.,Waterlogging,Alkapuri,Official App,High,Negative
No water supply in Sama since morning.,Water Supply,Sama,Official App,High,Negative
Action required: Huge potholes in Ajwa Road main road. Authorities please take note.,Roads,Ajwa Road,Social Media,Medium,Negative
Alert: Stray cattle blocking traffic at Waghodia Road. VMC please help.,Stray Animals,Waghodia Road,Social Media,Medium,Negative
Complaint: No water supply in Fatehgunj since morning.,Water Supply,Fatehgunj,WhatsApp,High,Negative
Suffocating smell near Makarpura GIDC.,Pollution,Makarpura,News Headline,High,Negative
Alert: Waterlogging near Fatehgunj is causing huge traffic jams. Calling municipal corporation.,Waterlogging,Fatehgunj,Social Media,High,Negative
"Urgent: Knee deep water in Sayajigunj, please help.",Waterlogging,Sayajigunj,Social Media,High,Negative
Urgent: Bad road condition near Gorwa school. It is very annoying.,Roads,Gorwa,Social Media,High,Negative
Report: Terrible chemical smell in Nandesari at night. Authorities please take note.,Pollution,Nandesari,Social Media,High,Negative
Alert: Low pressure water in Manjalpur. Very dangerous situation.,Water Supply,Manjalpur,Social Media,High,Negative
Contaminated water supply in Harni.,Water Supply,Harni,Official App,High,Negative
Report: Eyes burning due to smoke in Mandvi. VMC please help.,Pollution,Mandvi,WhatsApp,High,Negative
Report: Dead animal near Waghodia Road needs removal. Calling municipal corporation.,Sanitation,Waghodia Road,Social Media,Medium,Negative
Terrible chemical smell in Alkapuri at night. Authorities please take note.,Pollution,Alkapuri,Social Media,High,Negative
Alert: Unfinished road work in Karelibaug causing dust. VMC please help.,Roads,Karelibaug,Social Media,Medium,Negative
Complaint: Cleaning not done in Fatehgunj society. Very dangerous situation.,Sanitation,Fatehgunj,WhatsApp,Medium,Negative
Urgent: Resurfacing needed for Ajwa Road street. #Vadodara #VMC,Roads,Ajwa Road,Social Media,High,Negative
Please check: Low pressure water in Raopura. Very dangerous situation.,Water Supply,Raopura,Social Media,High,Negative
Low pressure water in Fatehgunj.,Water Supply,Fatehgunj,News Headline,High,Negative
Cows sitting in the middle of Subhanpura road.,Stray Animals,Subhanpura,Official App,Medium,Negative
Please check: Blinkering street lights at Makarpura crossroad.,Street Lights,Makarpura,WhatsApp,Medium,Negative
Heavy rain caused flooding near Manjalpur.,Waterlogging,Manjalpur,Official App,High,Negative
Eyes burning due to smoke in Vasna Road.,Pollution,Vasna Road,Official App,High,Negative
Ganda paani aa raha hai Vasna Road me.,Water Supply,Vasna Road,News Headline,High,Negative
Please check: No water supply in Tarsali since morning. Very dangerous situation.,Water Supply,Tarsali,WhatsApp,High,Negative
Urgent: Stray cattle blocking traffic at Makarpura.,Stray Animals,Makarpura,WhatsApp,High,Negative
Water is not draining in Akota.,Waterlogging,Akota,Official App,High,Negative
Please check: Stray cattle blocking traffic at Tarsali. It's been a week.,Stray Animals,Tarsali,WhatsApp,Medium,Negative
Report: Dead animal near Subhanpura needs removal. VMC please help.,Sanitation,Subhanpura,WhatsApp,Medium,Negative
Action required: Barish ka paani Sayajigunj me bhar gaya hai. Authorities please take note.,Waterlogging,Sayajigunj,WhatsApp,High,Negative
Too many stray dogs in Kala Ghoda attacking people. Calling municipal corporation.,Stray Animals,Kala Ghoda,Social Media,Medium,Negative
Air quality is very bad in Tarsali.,Pollution,Tarsali,News Headline,High,Negative
Terrible chemical smell in Karelibaug at night.,Pollution,Karelibaug,Official App,High,Negative
Help needed: Barish ka paani Gotri me bhar gaya hai. VMC please help.,Waterlogging,Gotri,Social Media,High,Negative
Urgent: No water supply in Nandesari since morning. #Vadodara #VMC,Water Supply,Nandesari,Social Media,High,Negative
Please check: Contaminated water supply in Alkapuri. It's been a week.,Water Supply,Alkapuri,Social Media,High,Negative
Resurfacing needed for Sayajigunj street.,Roads,Sayajigunj,News Headline,Medium,Negative
Unfinished road work in Sayajigunj causing dust.,Roads,Sayajigunj,News Headline,Medium,Negative
No water supply in Ajwa Road since morning. VMC please help.,Water Supply,Ajwa Road,Social Media,High,Negative
Action required: Kachra pada hai Raopura main road pe. #Vadodara #VMC,Sanitation,Raopura,WhatsApp,Medium,Negative
Help needed: Stray cattle blocking traffic at Kala Ghoda. It's been a week.,Stray Animals,Kala Ghoda,Social Media,Medium,Negative
Nyay Mandir me bahut chemical ki badboo aa rahi hai.,Pollution,Nyay Mandir,News Headline,High,Negative
Ganda paani aa raha hai Sama me.,Water Supply,Sama,Official App,High,Negative
Manjalpur is completely dark at night.,Street Lights,Manjalpur,Official App,Medium,Negative
Resurfacing needed for Subhanpura street.,Roads,Subhanpura,Official App,Medium,Negative
Terrible chemical smell in Alkapuri at night.,Pollution,Alkapuri,Official App,High,Negative
Street lights not working in Ajwa Road.,Street Lights,Ajwa Road,Official App,Medium,Negative
Complaint: Contaminated water supply in Tarsali. It is very annoying.,Water Supply,Tarsali,WhatsApp,High,Negative
Action required: Manjalpur is completely dark at night. Authorities please take note.,Street Lights,Manjalpur,WhatsApp,Medium,Negative
Report: Stray cattle blocking traffic at Gorwa. Very dangerous situation.,Stray Animals,Gorwa,WhatsApp,Medium,Negative
Kachra pada hai Alkapuri main road pe. It's been a week.,Sanitation,Alkapuri,Social Media,Medium,Negative
Report: Terrible chemical smell in Sama at night. Calling municipal corporation.,Pollution,Sama,WhatsApp,High,Negative
Vishwamitri river water entering Raopura low lying areas.,Waterlogging,Raopura,Official App,High,Negative
Alert: Cleaning not done in Subhanpura society. Please resolve asap.,Sanitation,Subhanpura,Social Media,Medium,Negative
Action required: Cleaning not done in Sayajigunj society. It's been a week.,Sanitation,Sayajigunj,WhatsApp,Medium,Negative
Very unhygienic conditions in Gorwa vegetable market.,Sanitation,Gorwa,Official App,Medium,Negative
Cows sitting in the middle of Mandvi road.,Stray Animals,Mandvi,Official App,Medium,Negative
Kachra pada hai Nandesari main road pe. Very dangerous situation.,Sanitation,Nandesari,Social Media,Medium,Negative
Blinkering street lights at Harni crossroad. Calling municipal corporation.,Street Lights,Harni,WhatsApp,Medium,Negative
Low pressure water in Mandvi.,Water Supply,Mandvi,News Headline,High,Negative
Too many stray dogs in Vasna Road attacking people.,Stray Animals,Vasna Road,Official App,Medium,Negative
Ganda paani aa raha hai Sayajigunj me.,Water Supply,Sayajigunj,News Headline,High,Negative
Cows sitting in the middle of Vasna Road road.,Stray Animals,Vasna Road,Official App,Medium,Negative
Contaminated water supply in Harni.,Water Supply,Harni,Official App,High,Negative
Alert: Contaminated water supply in Vasna Road. #Vadodara #VMC,Water Supply,Vasna Road,Social Media,High,Negative
Action required: Terrible chemical smell in Akota at night. It is very annoying.,Pollution,Akota,Social Media,High,Negative
Report: Dead animal near Vasna Road needs removal. It's been a week.,Sanitation,Vasna Road,Social Media,Medium,Negative
Complaint: Very unhygienic conditions in Mandvi vegetable market. Please resolve asap.,Sanitation,Mandvi,WhatsApp,Medium,Negative
Barish ka paani Sama me bhar gaya hai.,Waterlogging,Sama,Official App,High,Negative
Resurfacing needed for Gotri street.,Roads,Gotri,Official App,Medium,Negative
Help needed: Kachra pada hai Akota main road pe. Very dangerous situation.,Sanitation,Akota,Social Media,Medium,Negative
Ganda paani aa raha hai Gotri me.,Water Supply,Gotri,Social Media,High,Negative
Unfinished road work in Vasna Road causing dust.,Roads,Vasna Road,News Headline,Medium,Negative
"Help needed: Waghodia Road road is full of potholes, very dangerous for bikers. It is very annoying.",Roads,Waghodia Road,WhatsApp,Medium,Negative
Barish ka paani Nyay Mandir me bhar gaya hai.,Waterlogging,Nyay Mandir,Official App,High,Negative
Alert: Gadde hi gadde hai Sayajigunj ke road par. Very dangerous situation.,Roads,Sayajigunj,Social Media,Medium,Negative
No water supply in Waghodia Road since morning.,Water Supply,Waghodia Road,Official App,High,Negative
Action required: Cleaning not done in Nandesari society. It's been a week.,Sanitation,Nandesari,WhatsApp,Medium,Negative
Complaint: Cleaning not done in Gorwa society. Please resolve asap.,Sanitation,Gorwa,Social Media,Medium,Negative
Urgent: Sama me bahut chemical ki badboo aa rahi hai. It's been a week.,Pollution,Sama,WhatsApp,High,Negative
Resurfacing needed for Mandvi street.,Roads,Mandvi,Official App,Medium,Negative
"Ajwa Road road is full of potholes, very dangerous for bikers. Calling municipal corporation.",Roads,Ajwa Road,Social Media,Medium,Negative
Unfinished road work in Nyay Mandir causing dust.,Roads,Nyay Mandir,News Headline,Medium,Negative
Urgent: Kala Ghoda me bahut chemical ki badboo aa rahi hai.,Pollution,Kala Ghoda,Social Media,High,Negative
Complaint: Drainage overflow causing water to unexpected levels in Harni. VMC please help.,Waterlogging,Harni,WhatsApp,High,Negative
Urgent: Air quality is very bad in Nandesari. VMC please help.,Pollution,Nandesari,Social Media,High,Negative
Please check: Blinkering street lights at Gotri crossroad. #Vadodara #VMC,Street Lights,Gotri,WhatsApp,Medium,Negative
Alert: Kala Ghoda me bahut chemical ki badboo aa rahi hai. Very dangerous situation.,Pollution,Kala Ghoda,WhatsApp,High,Negative
Urgent: Water logging issue at Alkapuri circle. Very dangerous situation.,Waterlogging,Alkapuri,WhatsApp,High,Negative
Ganda paani aa raha hai Makarpura me. It's been a week.,Water Supply,Makarpura,Social Media,High,Negative
Very unhygienic conditions in Sayajigunj vegetable market. It is very annoying.,Sanitation,Sayajigunj,Social Media,Medium,Negative
Action required: Heavy rain caused flooding near Kala Ghoda. It is very annoying.,Waterlogging,Kala Ghoda,WhatsApp,High,Negative
Urgent: Very unhygienic conditions in Nandesari vegetable market. Calling municipal corporation.,Sanitation,Nandesari,Social Media,High,Negative
Report: Water logging issue at Makarpura circle. It is very annoying.,Waterlogging,Makarpura,WhatsApp,High,Negative
Urgent: Huge potholes in Karelibaug main road. Very dangerous situation.,Roads,Karelibaug,WhatsApp,High,Negative
Suffocating smell near Manjalpur GIDC.,Pollution,Manjalpur,News Headline,High,Negative
Low pressure water in Alkapuri.,Water Supply,Alkapuri,Official App,High,Negative
Urgent: Resurfacing needed for Raopura street. Very dangerous situation.,Roads,Raopura,Social Media,High,Negative
Help needed: Cleaning not done in Tarsali society.,Sanitation,Tarsali,Social Media,Medium,Negative
Alert: Kachra pada hai Makarpura main road pe. #Vadodara #VMC,Sanitation,Makarpura,WhatsApp,Medium,Negative
